         223932 function calls (221191 primitive calls) in 0.187 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      303    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:141(_get_active_backend)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:1001(__sklearn_tags__)
      202    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:139(_unique_dispatcher)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1201(path_stats)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:714(__sklearn_tags__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:1507(__init__)
      100    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2472(_any_dispatcher)
      103    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/tree/_classes.py:127(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
      101    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._unique_hash}
      100    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/parallel.py:126(with_config_and_warning_filters)
      202    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_array_api.py:127(_check_array_api_dispatch)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        6    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:1157(__init__)
      200    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/multiarray.py:188(concatenate)
      201    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2333(_sum_dispatcher)
      102    0.000    0.000    0.000    0.000 {function BaseEstimator.__getstate__ at 0x730d65272f20}
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:723(uuid4)
        4    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:380(with_segments)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
      101    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:436(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:34(__init__)
      2/1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:1376(_initialize_backend)
      101    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:1569(print_progress)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        5    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:589(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/typing.py:1947(__init_subclass__)
        6    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:358(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:719(__truediv__)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:420(_from_parsed_parts)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:3254(bind)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        5    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:596(is_satisfied_by)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
      100    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3323(_prod_dispatcher)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:711(joinpath)
       40    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      101    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2875(_cumsum_dispatcher)
       46    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      100    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/multiarray.py:1106(copyto)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:3119(_bind)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_validate_timestamp_pyc)
       74    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      100    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:3047(_max_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:564(__init__)
      100    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/multiarray.py:927(bincount)
      101    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:912(_copy_dispatcher)
        3    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:277(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/validation.py:454(check_consistent_length)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/functools.py:818(dispatch)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:139(__init__)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       17    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:296(__init__)
      101    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/shape_base.py:17(_atleast_1d_dispatcher)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/_adapters.py:163(wrap_spec)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:572(is_satisfied_by)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:438(__init__)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_bunch.py:55(__getattr__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/tree/_classes.py:184(_support_missing_values)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:747(__init__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:2935(apply_defaults)
        1    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:621(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/readers.py:56(MultiplexedPath)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/copyreg.py:107(_slotnames)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:1930(_reset_run_tracking)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:613(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:490(configure)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_bunch.py:36(__getitem__)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:622(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/validation.py:2697(_check_feature_names)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:230(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/validation.py:2790(_check_n_features)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:382(__init__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       36    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:264(__init__)
        4    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:573(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/disk.py:39(memstr_to_bytes)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:211(reshape)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:447(_check_params)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        6    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:1164(__new__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        3    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:51(__init__)
       10    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:597(<genexpr>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       12    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:111(_get_config_param)
       30    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        4    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:429(_format_parsed_parts)
       28    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       11    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/_adapters.py:12(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/weakref.py:414(__getitem__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        5    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/_distutils_hack/__init__.py:101(find_spec)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/validation.py:2380(_get_feature_names)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/validation.py:328(_num_features)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_bunch.py:30(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/typing.py:1079(_generic_init_subclass)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        9    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:300(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _csv.reader}
        2    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
       11    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/multiprocessing/context.py:237(get_context)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/uuid.py:334(hex)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/_adapters.py:16(__getattr__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_base.py:108(__init__)
        3    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:368(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/typing.py:1819(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/threading.py:124(RLock)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/logger.py:67(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/weakref.py:427(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:157(configure)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
        7    0.000    0.000    0.000    0.000 {built-in method _operator.lt}
        5    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_base.py:125(_validate_estimator)
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _operator.ge}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:1543(_get_batch_size)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/readers.py:32(ZipReader)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/__init__.py:151(_DType_reduce)
        7    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:310(is_satisfied_by)
        1    0.000    0.000    0.000    0.000 <string>:2(__eq__)
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1152(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/queue.py:206(_init)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/readers.py:16(FileReader)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/_adapters.py:25(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/readers.py:129(NamespaceReader)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/contextlib.py:772(__init__)
        7    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:2786(default)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:735(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:311(effective_n_jobs)
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        4    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:560(root)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1177(get_filename)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:985(create_module)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/contextlib.py:446(__exit__)
        3    0.000    0.000    0.000    0.000 {built-in method _io.text_encoding}
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/readers.py:28(files)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/contextlib.py:440(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/_itertools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/typing.py:1952(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/importlib/resources/_adapters.py:141(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        4    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/pathlib.py:569(_tail)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/datasets/descr/__init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function Bunch.__getitem__ at 0x730d7257c2c0}
        1    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:2874(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/python/3.12.1/lib/python3.12/contextlib.py:443(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:91(_get_n_samples_bootstrap)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:284(effective_n_jobs)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:206(_reshape_dispatcher)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/datasets/data/__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/joblib/_parallel_backends.py:177(compute_batch_size)


